size,type,W,A,d,b,t,k,k_det,x,y,x_p,y_p,lamb,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,I_z,r_z,S_z,J,C_w,r_o,tan_alpha,I_w,z_A,z_B,z_C,w_A,w_B,w_C,S_wA,S_wC,S_zA,S_zB,S_zC,P_A,P_A2,P_B
L3-1/2X3-1/2X1/4,L,5.8 plf,1.7 in ** 2,3.5 in,3.5 in,0.25 in,0.625 in,0.625 in,0.954 in,0.954 in,0.243 in,0.243 in,14,2.0 in ** 4,1.41 in ** 3,0.787 in ** 3,1.09 in,2.0 in ** 4,1.41 in ** 3,0.787 in ** 3,1.09 in,0.802 in ** 4,0.688 in,0.594 in ** 3,0.0386 in ** 4,0.0334 in ** 6,1.93 in,1,3.19 in ** 4,2.39 in,0.0 in,2.39 in,1.21 in,1.35 in,1.21 in,1.33 in ** 3,1.33 in ** 3,0.663 in ** 3,0.594 in ** 3,0.663 in ** 3,10.5 in,10.5 in,14.0 in
L3-1/2X3X1/2,L,10.2 plf,3.02 in ** 2,3.0 in,3.5 in,0.5 in,0.875 in,0.875 in,0.869 in,1.12 in,0.431 in,0.48 in,7,3.45 in ** 4,2.61 in ** 3,1.45 in ** 3,1.07 in,2.32 in ** 4,1.97 in ** 3,1.09 in ** 3,0.877 in,1.15 in ** 4,0.618 in,0.846 in ** 3,0.26 in ** 4,0.191 in ** 6,1.75 in,0.713,4.62 in ** 4,1.95 in,0.407 in,2.3 in,1.23 in,1.36 in,0.878 in,2.37 in ** 3,2.01 in ** 3,0.935 in ** 3,0.846 in ** 3,1.31 in ** 3,10.0 in,9.5 in,13.0 in
L3-1/2X3X7/16,L,9.1 plf,2.67 in ** 2,3.0 in,3.5 in,0.438 in,0.813 in,0.8125 in,0.846 in,1.09 in,0.381 in,0.449 in,7.99,3.1 in ** 4,2.32 in ** 3,1.29 in ** 3,1.08 in,2.09 in ** 4,1.75 in ** 3,0.971 in ** 3,0.885 in,1.02 in ** 4,0.62 in,0.773 in ** 3,0.178 in ** 4,0.132 in ** 6,1.76 in,0.717,4.16 in ** 4,1.96 in,0.393 in,2.32 in,1.24 in,1.32 in,0.894 in,2.12 in ** 3,1.79 in ** 3,0.823 in ** 3,0.773 in ** 3,1.14 in ** 3,10.0 in,9.5 in,13.0 in
L3-1/2X3X3/8,L,7.9 plf,2.32 in ** 2,3.0 in,3.5 in,0.375 in,0.75 in,0.75 in,0.823 in,1.07 in,0.331 in,0.407 in,9.33,2.73 in ** 4,2.03 in ** 3,1.12 in ** 3,1.09 in,1.84 in ** 4,1.52 in ** 3,0.847 in ** 3,0.892 in,0.894 in ** 4,0.622 in,0.693 in ** 3,0.114 in ** 4,0.0858 in ** 6,1.78 in,0.72,3.68 in ** 4,1.99 in,0.389 in,2.34 in,1.25 in,1.29 in,0.901 in,1.85 in ** 3,1.57 in ** 3,0.715 in ** 3,0.693 in ** 3,0.992 in ** 3,10.0 in,9.5 in,13.0 in
L3-1/2X3X5/16,L,6.6 plf,1.95 in ** 2,3.0 in,3.5 in,0.313 in,0.688 in,0.6875 in,0.798 in,1.05 in,0.279 in,0.38 in,11.2,2.33 in ** 4,1.72 in ** 3,0.951 in ** 3,1.09 in,1.58 in ** 4,1.28 in ** 3,0.718 in ** 3,0.9 in,0.758 in ** 4,0.624 in,0.602 in ** 3,0.068 in ** 4,0.0512 in ** 6,1.79 in,0.722,3.15 in ** 4,2.01 in,0.383 in,2.36 in,1.26 in,1.26 in,0.916 in,1.57 in ** 3,1.33 in ** 3,0.602 in ** 3,0.602 in ** 3,0.828 in ** 3,10.0 in,9.5 in,13.0 in
L3-1/2X3X1/4,L,5.4 plf,1.58 in ** 2,3.0 in,3.5 in,0.25 in,0.625 in,0.625 in,0.773 in,1.02 in,0.226 in,0.34 in,14,1.92 in ** 4,1.39 in ** 3,0.773 in ** 3,1.1 in,1.3 in ** 4,1.04 in ** 3,0.585 in ** 3,0.908 in,0.622 in ** 4,0.628 in,0.486 in ** 3,0.036 in ** 4,0.027 in ** 6,1.8 in,0.725,2.6 in ** 4,2.03 in,0.374 in,2.39 in,1.28 in,1.22 in,0.928 in,1.28 in ** 3,1.09 in ** 3,0.486 in ** 3,0.51 in ** 3,0.67 in ** 3,10.0 in,9.5 in,13.0 in
L3-1/2X2-1/2X1/2,L,9.4 plf,2.77 in ** 2,2.5 in,3.5 in,0.5 in,0.875 in,0.875 in,0.701 in,1.2 in,0.396 in,0.73 in,7,3.24 in ** 4,2.52 in ** 3,1.41 in ** 3,1.08 in,1.36 in ** 4,1.39 in ** 3,0.756 in ** 3,0.701 in,0.781 in ** 4,0.532 in,0.651 in ** 3,0.234 in ** 4,0.159 in ** 6,1.66 in,0.485,3.82 in ** 4,1.64 in,0.774 in,2.27 in,1.2 in,1.15 in,0.598 in,2.33 in ** 3,1.68 in ** 3,0.651 in ** 3,0.679 in ** 3,1.31 in ** 3,9.5 in,8.5 in,12.0 in
L3-1/2X2-1/2X3/8,L,7.2 plf,2.12 in ** 2,2.5 in,3.5 in,0.375 in,0.75 in,0.75 in,0.655 in,1.15 in,0.303 in,0.673 in,9.33,2.56 in ** 4,1.96 in ** 3,1.09 in ** 3,1.1 in,1.09 in ** 4,1.07 in ** 3,0.589 in ** 3,0.716 in,0.609 in ** 4,0.535 in,0.499 in ** 3,0.103 in ** 4,0.0714 in ** 6,1.69 in,0.495,3.04 in ** 4,1.68 in,0.739 in,2.31 in,1.22 in,1.1 in,0.626 in,1.81 in ** 3,1.32 in ** 3,0.499 in ** 3,0.554 in ** 3,0.973 in ** 3,9.5 in,8.5 in,12.0 in
L3-1/2X2-1/2X5/16,L,6.1 plf,1.79 in ** 2,2.5 in,3.5 in,0.313 in,0.688 in,0.6875 in,0.632 in,1.13 in,0.256 in,0.636 in,11.2,2.2 in ** 4,1.67 in ** 3,0.925 in ** 3,1.11 in,0.937 in ** 4,0.9 in ** 3,0.501 in ** 3,0.723 in,0.518 in ** 4,0.538 in,0.418 in ** 3,0.0611 in ** 4,0.0426 in ** 6,1.71 in,0.5,2.62 in ** 4,1.71 in,0.729 in,2.33 in,1.24 in,1.07 in,0.633 in,1.53 in ** 3,1.12 in ** 3,0.418 in ** 3,0.484 in ** 3,0.818 in ** 3,9.5 in,8.5 in,12.0 in
L3-1/2X2-1/2X1/4,L,4.9 plf,1.45 in ** 2,2.5 in,3.5 in,0.25 in,0.625 in,0.625 in,0.607 in,1.1 in,0.207 in,0.6 in,14,1.81 in ** 4,1.36 in ** 3,0.753 in ** 3,1.12 in,0.775 in ** 4,0.728 in ** 3,0.41 in ** 3,0.731 in,0.426 in ** 4,0.541 in,0.341 in ** 3,0.0322 in ** 4,0.0225 in ** 6,1.72 in,0.504,2.16 in ** 4,1.72 in,0.71 in,2.36 in,1.25 in,1.04 in,0.647 in,1.26 in ** 3,0.915 in ** 3,0.341 in ** 3,0.41 in ** 3,0.658 in ** 3,9.5 in,8.5 in,12.0 in
L3X3X1/2,L,9.4 plf,2.76 in ** 2,3.0 in,3.0 in,0.5 in,0.875 in,0.875 in,0.929 in,0.929 in,0.46 in,0.46 in,6,2.2 in ** 4,1.91 in ** 3,1.06 in ** 3,0.895 in,2.2 in ** 4,1.91 in ** 3,1.06 in ** 3,0.895 in,0.922 in ** 4,0.58 in,0.704 in ** 3,0.23 in ** 4,0.144 in ** 6,1.59 in,1,3.48 in ** 4,1.94 in,0.0 in,1.94 in,0.984 in,1.31 in,0.984 in,1.79 in ** 3,1.79 in ** 3,0.937 in ** 3,0.704 in ** 3,0.937 in ** 3,9.0 in,9.0 in,12.0 in
L3X3X7/16,L,8.3 plf,2.43 in ** 2,3.0 in,3.0 in,0.438 in,0.813 in,0.8125 in,0.907 in,0.907 in,0.405 in,0.405 in,6.85,1.98 in ** 4,1.7 in ** 3,0.946 in ** 3,0.903 in,1.98 in ** 4,1.7 in ** 3,0.946 in ** 3,0.903 in,0.817 in ** 4,0.58 in,0.638 in ** 3,0.157 in ** 4,0.1 in ** 6,1.6 in,1,3.14 in ** 4,1.97 in,0.0 in,1.97 in,0.993 in,1.28 in,0.993 in,1.59 in ** 3,1.59 in ** 3,0.823 in ** 3,0.638 in ** 3,0.823 in ** 3,9.0 in,9.0 in,12.0 in
L3X3X3/8,L,7.2 plf,2.11 in ** 2,3.0 in,3.0 in,0.375 in,0.75 in,0.75 in,0.884 in,0.884 in,0.352 in,0.352 in,8,1.75 in ** 4,1.48 in ** 3,0.825 in ** 3,0.91 in,1.75 in ** 4,1.48 in ** 3,0.825 in ** 3,0.91 in,0.716 in ** 4,0.581 in,0.573 in ** 3,0.101 in ** 4,0.0652 in ** 6,1.62 in,1,2.79 in ** 4,1.99 in,0.0 in,1.99 in,1.0 in,1.25 in,1.0 in,1.4 in ** 3,1.4 in ** 3,0.716 in ** 3,0.573 in ** 3,0.716 in ** 3,9.0 in,9.0 in,12.0 in
L3X3X5/16,L,6.1 plf,1.78 in ** 2,3.0 in,3.0 in,0.313 in,0.688 in,0.6875 in,0.86 in,0.86 in,0.297 in,0.297 in,9.58,1.5 in ** 4,1.26 in ** 3,0.699 in ** 3,0.918 in,1.5 in ** 4,1.26 in ** 3,0.699 in ** 3,0.918 in,0.606 in ** 4,0.583 in,0.497 in ** 3,0.0597 in ** 4,0.039 in ** 6,1.64 in,1,2.4 in ** 4,2.01 in,0.0 in,2.01 in,1.02 in,1.22 in,1.02 in,1.19 in ** 3,1.19 in ** 3,0.594 in ** 3,0.497 in ** 3,0.594 in ** 3,9.0 in,9.0 in,12.0 in
L3X3X1/4,L,4.9 plf,1.44 in ** 2,3.0 in,3.0 in,0.25 in,0.625 in,0.625 in,0.836 in,0.836 in,0.24 in,0.24 in,12,1.23 in ** 4,1.02 in ** 3,0.569 in ** 3,0.926 in,1.23 in ** 4,1.02 in ** 3,0.569 in ** 3,0.926 in,0.49 in ** 4,0.585 in,0.415 in ** 3,0.0313 in ** 4,0.0206 in ** 6,1.65 in,1,1.97 in ** 4,2.03 in,0.0 in,2.03 in,1.03 in,1.18 in,1.03 in,0.97 in ** 3,0.97 in ** 3,0.476 in ** 3,0.415 in ** 3,0.476 in ** 3,9.0 in,9.0 in,12.0 in
