size,type,W,A,H_t,h,B,b,t_nom,t,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C
HSS5X5X3/16,HSS,11.97 plf,3.28 in ** 2,5.0 in,4.48 in,5.0 in,4.48 in,0.1875 in,0.174 in,25.7,25.7,12.6 in ** 4,5.89 in ** 3,5.03 in ** 3,1.96 in,12.6 in ** 4,5.89 in ** 3,5.03 in ** 3,1.96 in,19.9 in ** 4,8.08 in ** 3
HSS5X5X1/8,HSS,8.16 plf,2.23 in ** 2,5.0 in,4.65 in,5.0 in,4.65 in,0.125 in,0.116 in,40.1,40.1,8.8 in ** 4,4.07 in ** 3,3.52 in ** 3,1.99 in,8.8 in ** 4,4.07 in ** 3,3.52 in ** 3,1.99 in,13.7 in ** 4,5.53 in ** 3
HSS5X4X1/2,HSS,25.03 plf,6.95 in ** 2,5.0 in,3.6 in,4.0 in,2.6 in,0.5 in,0.465 in,5.6,7.75,21.2 in ** 4,10.9 in ** 3,8.49 in ** 3,1.75 in,14.9 in ** 4,9.35 in ** 3,7.43 in ** 3,1.46 in,30.3 in ** 4,14.5 in ** 3
HSS5X4X3/8,HSS,19.82 plf,5.48 in ** 2,5.0 in,3.95 in,4.0 in,2.95 in,0.375 in,0.349 in,8.46,11.3,17.9 in ** 4,8.96 in ** 3,7.17 in ** 3,1.81 in,12.6 in ** 4,7.67 in ** 3,6.3 in ** 3,1.52 in,24.9 in ** 4,11.7 in ** 3
HSS5X4X5/16,HSS,16.96 plf,4.68 in ** 2,5.0 in,4.13 in,4.0 in,3.13 in,0.3125 in,0.291 in,10.7,14.2,15.8 in ** 4,7.79 in ** 3,6.32 in ** 3,1.84 in,11.1 in ** 4,6.67 in ** 3,5.57 in ** 3,1.54 in,21.7 in ** 4,10.1 in ** 3
HSS5X4X1/4,HSS,13.91 plf,3.84 in ** 2,5.0 in,4.3 in,4.0 in,3.3 in,0.25 in,0.233 in,14.2,18.5,13.4 in ** 4,6.49 in ** 3,5.35 in ** 3,1.87 in,9.46 in ** 4,5.57 in ** 3,4.73 in ** 3,1.57 in,18.0 in ** 4,8.32 in ** 3
HSS5X4X3/16,HSS,10.7 plf,2.93 in ** 2,5.0 in,4.48 in,4.0 in,3.48 in,0.1875 in,0.174 in,20,25.7,10.6 in ** 4,5.05 in ** 3,4.22 in ** 3,1.9 in,7.48 in ** 4,4.34 in ** 3,3.74 in ** 3,1.6 in,14.0 in ** 4,6.41 in ** 3
HSS5X4X1/8,HSS,7.31 plf,2.0 in ** 2,5.0 in,4.65 in,4.0 in,3.65 in,0.125 in,0.116 in,31.5,40.1,7.42 in ** 4,3.5 in ** 3,2.97 in ** 3,1.93 in,5.27 in ** 4,3.01 in ** 3,2.64 in ** 3,1.62 in,9.66 in ** 4,4.39 in ** 3
HSS5X3X1/2,HSS,21.63 plf,6.02 in ** 2,5.0 in,3.6 in,3.0 in,1.6 in,0.5 in,0.465 in,3.45,7.75,16.4 in ** 4,8.83 in ** 3,6.57 in ** 3,1.65 in,7.18 in ** 4,6.1 in ** 3,4.78 in ** 3,1.09 in,17.6 in ** 4,10.3 in ** 3
HSS5X3X3/8,HSS,17.27 plf,4.78 in ** 2,5.0 in,3.95 in,3.0 in,1.95 in,0.375 in,0.349 in,5.6,11.3,14.1 in ** 4,7.34 in ** 3,5.65 in ** 3,1.72 in,6.25 in ** 4,5.1 in ** 3,4.16 in ** 3,1.14 in,14.9 in ** 4,8.44 in ** 3
HSS5X3X5/16,HSS,14.83 plf,4.1 in ** 2,5.0 in,4.13 in,3.0 in,2.13 in,0.3125 in,0.291 in,7.31,14.2,12.6 in ** 4,6.42 in ** 3,5.03 in ** 3,1.75 in,5.6 in ** 4,4.48 in ** 3,3.73 in ** 3,1.17 in,13.1 in ** 4,7.33 in ** 3
HSS5X3X1/4,HSS,12.21 plf,3.37 in ** 2,5.0 in,4.3 in,3.0 in,2.3 in,0.25 in,0.233 in,9.88,18.5,10.7 in ** 4,5.38 in ** 3,4.29 in ** 3,1.78 in,4.81 in ** 4,3.77 in ** 3,3.21 in ** 3,1.19 in,11.0 in ** 4,6.1 in ** 3
HSS5X3X3/16,HSS,9.42 plf,2.58 in ** 2,5.0 in,4.48 in,3.0 in,2.48 in,0.1875 in,0.174 in,14.2,25.7,8.53 in ** 4,4.21 in ** 3,3.41 in ** 3,1.82 in,3.85 in ** 4,2.96 in ** 3,2.57 in ** 3,1.22 in,8.64 in ** 4,4.73 in ** 3
HSS5X3X1/8,HSS,6.46 plf,1.77 in ** 2,5.0 in,4.65 in,3.0 in,2.65 in,0.125 in,0.116 in,22.9,40.1,6.03 in ** 4,2.93 in ** 3,2.41 in ** 3,1.85 in,2.75 in ** 4,2.07 in ** 3,1.83 in ** 3,1.25 in,6.02 in ** 4,3.26 in ** 3
HSS5X2-1/2X1/4,HSS,11.36 plf,3.14 in ** 2,5.0 in,4.3 in,2.5 in,1.8 in,0.25 in,0.233 in,7.73,18.5,9.4 in ** 4,4.83 in ** 3,3.76 in ** 3,1.73 in,3.13 in ** 4,2.95 in ** 3,2.5 in ** 3,0.999 in,7.93 in ** 4,4.99 in ** 3
HSS5X2-1/2X3/16,HSS,8.78 plf,2.41 in ** 2,5.0 in,4.48 in,2.5 in,1.98 in,0.1875 in,0.174 in,11.4,25.7,7.51 in ** 4,3.79 in ** 3,3.01 in ** 3,1.77 in,2.53 in ** 4,2.33 in ** 3,2.03 in ** 3,1.02 in,6.26 in ** 4,3.89 in ** 3
HSS5X2-1/2X1/8,HSS,6.03 plf,1.65 in ** 2,5.0 in,4.65 in,2.5 in,2.15 in,0.125 in,0.116 in,18.6,40.1,5.34 in ** 4,2.65 in ** 3,2.14 in ** 3,1.8 in,1.82 in ** 4,1.64 in ** 3,1.46 in ** 3,1.05 in,4.4 in ** 4,2.7 in ** 3
