size,type,W,A,d_nom,d,d_det,b_f,b_f_det,t_w,t_w_det,t_w_det_over_2,t_f,t_f_det,k,k_det,k_1,lamb_f,lamb_w,I_x,Z_x,S_x,r_x,I_y,Z_y,S_y,r_y,J,C_w,W_no,S_w1,Q_f,Q_w,r_ts,h_o,PA,PB,PC,PD,T,WG_i
W12X45,W,45.0 plf,13.1 in ** 2,12 in,12.1 in,12.0 in,8.05 in,8.0 in,0.335 in,0.3125 in,0.1875 in,0.575 in,0.5625 in,1.08 in,1.375 in,0.9375 in,7.0,29.6,348.0 in ** 4,64.2 in ** 3,57.7 in ** 3,5.15 in,50.0 in ** 4,19.0 in ** 3,12.4 in ** 3,1.95 in,1.26 in ** 4,1650.0 in ** 6,23.2 in ** 2,26.8 in ** 4,12.8 in ** 3,31.7 in ** 3,2.23 in,11.5 in,46.8 in,54.9 in,32.3 in,40.3 in,9.25 in,5.5 in
W12X40,W,40.0 plf,11.7 in ** 2,12 in,11.9 in,12.0 in,8.01 in,8.0 in,0.295 in,0.3125 in,0.1875 in,0.515 in,0.5 in,1.02 in,1.375 in,0.875 in,7.77,33.6,307.0 in ** 4,57.0 in ** 3,51.5 in ** 3,5.13 in,44.1 in ** 4,16.8 in ** 3,11.0 in ** 3,1.94 in,0.906 in ** 4,1440.0 in ** 6,22.8 in ** 2,23.5 in ** 4,11.3 in ** 3,27.8 in ** 3,2.21 in,11.4 in,46.4 in,54.4 in,31.8 in,39.8 in,9.25 in,5.5 in
W12X35,W,35.0 plf,10.3 in ** 2,12 in,12.5 in,12.5 in,6.56 in,6.5 in,0.3 in,0.3125 in,0.1875 in,0.52 in,0.5 in,0.82 in,1.1875 in,0.75 in,6.31,36.2,285.0 in ** 4,51.2 in ** 3,45.6 in ** 3,5.25 in,24.5 in ** 4,11.5 in ** 3,7.47 in ** 3,1.54 in,0.741 in ** 4,879.0 in ** 6,19.6 in ** 2,16.8 in ** 4,9.75 in ** 3,25.4 in ** 3,1.79 in,12.0 in,43.5 in,50.1 in,31.6 in,38.1 in,10.125 in,3.5 in
W12X30,W,30.0 plf,8.79 in ** 2,12 in,12.3 in,12.375 in,6.52 in,6.5 in,0.26 in,0.25 in,0.125 in,0.44 in,0.4375 in,0.74 in,1.125 in,0.75 in,7.41,41.8,238.0 in ** 4,43.1 in ** 3,38.6 in ** 3,5.21 in,20.3 in ** 4,9.56 in ** 3,6.24 in ** 3,1.52 in,0.457 in ** 4,720.0 in ** 6,19.3 in ** 2,13.9 in ** 4,8.17 in ** 3,21.3 in ** 3,1.77 in,11.9 in,43.1 in,49.6 in,31.1 in,37.6 in,10.125 in,3.5 in
W12X26,W,26.0 plf,7.65 in ** 2,12 in,12.2 in,12.25 in,6.49 in,6.5 in,0.23 in,0.25 in,0.125 in,0.38 in,0.375 in,0.68 in,1.0625 in,0.75 in,8.54,47.2,204.0 in ** 4,37.2 in ** 3,33.4 in ** 3,5.17 in,17.3 in ** 4,8.17 in ** 3,5.34 in ** 3,1.51 in,0.3 in ** 4,607.0 in ** 6,19.2 in ** 2,11.8 in ** 4,7.03 in ** 3,18.3 in ** 3,1.75 in,11.8 in,42.9 in,49.4 in,30.9 in,37.4 in,10.125 in,3.5 in
W12X22,W,22.0 plf,6.48 in ** 2,12 in,12.3 in,12.25 in,4.03 in,4.0 in,0.26 in,0.25 in,0.125 in,0.425 in,0.4375 in,0.725 in,0.9375 in,0.625 in,4.74,41.8,156.0 in ** 4,29.3 in ** 3,25.4 in ** 3,4.91 in,4.66 in ** 4,3.66 in ** 3,2.31 in ** 3,0.848 in,0.293 in ** 4,164.0 in ** 6,12.0 in ** 2,5.12 in ** 4,4.76 in ** 3,14.4 in ** 3,1.04 in,11.9 in,35.7 in,39.7 in,28.6 in,32.7 in,10.375 in,2.25 in
W12X19,W,19.0 plf,5.57 in ** 2,12 in,12.2 in,12.125 in,4.01 in,4.0 in,0.235 in,0.25 in,0.125 in,0.35 in,0.375 in,0.65 in,0.875 in,0.5625 in,5.72,46.2,130.0 in ** 4,24.7 in ** 3,21.3 in ** 3,4.82 in,3.76 in ** 4,2.98 in ** 3,1.88 in ** 3,0.822 in,0.18 in ** 4,131.0 in ** 6,11.9 in ** 2,4.17 in ** 4,3.91 in ** 3,12.2 in ** 3,1.02 in,11.9 in,35.5 in,39.5 in,28.4 in,32.4 in,10.375 in,2.25 in
W12X16,W,16.0 plf,4.71 in ** 2,12 in,12.0 in,12.0 in,3.99 in,4.0 in,0.22 in,0.25 in,0.125 in,0.265 in,0.25 in,0.565 in,0.8125 in,0.5625 in,7.53,49.4,103.0 in ** 4,20.1 in ** 3,17.1 in ** 3,4.67 in,2.82 in ** 4,2.26 in ** 3,1.41 in ** 3,0.773 in,0.103 in ** 4,96.9 in ** 6,11.7 in ** 2,3.09 in ** 4,2.93 in ** 3,9.82 in ** 3,0.983 in,11.7 in,35.0 in,39.0 in,28.0 in,32.0 in,10.375 in,2.25 in
W12X14,W,14.0 plf,4.16 in ** 2,12 in,11.9 in,11.875 in,3.97 in,4.0 in,0.2 in,0.1875 in,0.125 in,0.225 in,0.25 in,0.525 in,0.75 in,0.5625 in,8.82,54.3,88.6 in ** 4,17.4 in ** 3,14.9 in ** 3,4.62 in,2.36 in ** 4,1.9 in ** 3,1.19 in ** 3,0.753 in,0.0704 in ** 4,80.4 in ** 6,11.6 in ** 2,2.59 in ** 4,2.48 in ** 3,8.49 in ** 3,0.961 in,11.7 in,34.8 in,38.8 in,27.8 in,31.7 in,10.375 in,2.25 in
W10X112,W,112.0 plf,32.9 in ** 2,10 in,11.4 in,11.375 in,10.4 in,10.375 in,0.755 in,0.75 in,0.375 in,1.25 in,1.25 in,1.75 in,1.9375 in,1.0 in,4.17,10.4,716.0 in ** 4,147.0 in ** 3,126.0 in ** 3,4.66 in,236.0 in ** 4,69.2 in ** 3,45.3 in ** 3,2.68 in,15.1 in ** 4,6020.0 in ** 6,26.4 in ** 2,85.8 in ** 4,30.6 in ** 3,73.5 in ** 3,3.08 in,10.2 in,51.6 in,62.0 in,33.2 in,43.6 in,7.5 in,5.5 in
W10X100,W,100.0 plf,29.3 in ** 2,10 in,11.1 in,11.125 in,10.3 in,10.375 in,0.68 in,0.6875 in,0.375 in,1.12 in,1.125 in,1.62 in,1.8125 in,1.0 in,4.62,11.6,623.0 in ** 4,130.0 in ** 3,112.0 in ** 3,4.6 in,207.0 in ** 4,61.0 in ** 3,40.0 in ** 3,2.65 in,10.9 in ** 4,5150.0 in ** 6,25.7 in ** 2,74.1 in ** 4,26.9 in ** 3,64.2 in ** 3,3.04 in,10.0 in,50.9 in,61.2 in,32.5 in,42.8 in,7.5 in,5.5 in
W10X88,W,88.0 plf,26.0 in ** 2,10 in,10.8 in,10.875 in,10.3 in,10.25 in,0.605 in,0.625 in,0.3125 in,0.99 in,1.0 in,1.49 in,1.6875 in,0.9375 in,5.18,13.0,534.0 in ** 4,113.0 in ** 3,98.5 in ** 3,4.54 in,179.0 in ** 4,53.1 in ** 3,34.8 in ** 3,2.63 in,7.53 in ** 4,4330.0 in ** 6,25.3 in ** 2,64.4 in ** 4,23.5 in ** 3,55.9 in ** 3,2.99 in,9.81 in,50.4 in,60.7 in,31.9 in,42.2 in,7.5 in,5.5 in
W10X77,W,77.0 plf,22.7 in ** 2,10 in,10.6 in,10.625 in,10.2 in,10.25 in,0.53 in,0.5 in,0.25 in,0.87 in,0.875 in,1.37 in,1.5625 in,0.875 in,5.86,14.8,455.0 in ** 4,97.6 in ** 3,85.9 in ** 3,4.49 in,154.0 in ** 4,45.9 in ** 3,30.1 in ** 3,2.6 in,5.11 in ** 4,3630.0 in ** 6,24.8 in ** 2,55.0 in ** 4,20.5 in ** 3,48.4 in ** 3,2.95 in,9.73 in,49.9 in,60.1 in,31.4 in,41.6 in,7.5 in,5.5 in
W10X68,W,68.0 plf,19.9 in ** 2,10 in,10.4 in,10.375 in,10.1 in,10.125 in,0.47 in,0.5 in,0.25 in,0.77 in,0.75 in,1.27 in,1.4375 in,0.875 in,6.58,16.7,394.0 in ** 4,85.3 in ** 3,75.7 in ** 3,4.44 in,134.0 in ** 4,40.1 in ** 3,26.4 in ** 3,2.59 in,3.56 in ** 4,3100.0 in ** 6,24.3 in ** 2,47.3 in ** 4,17.9 in ** 3,42.1 in ** 3,2.92 in,9.63 in,49.3 in,59.4 in,30.9 in,41.0 in,7.5 in,5.5 in
W10X60,W,60.0 plf,17.7 in ** 2,10 in,10.2 in,10.25 in,10.1 in,10.125 in,0.42 in,0.4375 in,0.25 in,0.68 in,0.6875 in,1.18 in,1.375 in,0.8125 in,7.41,18.7,341.0 in ** 4,74.6 in ** 3,66.7 in ** 3,4.39 in,116.0 in ** 4,35.0 in ** 3,23.0 in ** 3,2.57 in,2.48 in ** 4,2640.0 in ** 6,24.0 in ** 2,41.3 in ** 4,15.7 in ** 3,36.8 in ** 3,2.88 in,9.52 in,49.0 in,59.1 in,30.5 in,40.6 in,7.5 in,5.5 in
W10X54,W,54.0 plf,15.8 in ** 2,10 in,10.1 in,10.125 in,10.0 in,10.0 in,0.37 in,0.375 in,0.1875 in,0.615 in,0.625 in,1.12 in,1.3125 in,0.8125 in,8.15,21.2,303.0 in ** 4,66.6 in ** 3,60.0 in ** 3,4.37 in,103.0 in ** 4,31.3 in ** 3,20.6 in ** 3,2.56 in,1.82 in ** 4,2320.0 in ** 6,23.7 in ** 2,36.5 in ** 4,14.0 in ** 3,32.8 in ** 3,2.85 in,9.49 in,48.6 in,58.6 in,30.2 in,40.2 in,7.5 in,5.5 in
W10X49,W,49.0 plf,14.4 in ** 2,10 in,10.0 in,10.0 in,10.0 in,10.0 in,0.34 in,0.3125 in,0.1875 in,0.56 in,0.5625 in,1.06 in,1.25 in,0.8125 in,8.93,23.1,272.0 in ** 4,60.4 in ** 3,54.6 in ** 3,4.35 in,93.4 in ** 4,28.3 in ** 3,18.7 in ** 3,2.54 in,1.39 in ** 4,2070.0 in ** 6,23.6 in ** 2,33.0 in ** 4,12.8 in ** 3,29.8 in ** 3,2.84 in,9.44 in,48.5 in,58.5 in,30.0 in,40.0 in,7.5 in,5.5 in
W10X45,W,45.0 plf,13.3 in ** 2,10 in,10.1 in,10.125 in,8.02 in,8.0 in,0.35 in,0.375 in,0.1875 in,0.62 in,0.625 in,1.12 in,1.3125 in,0.8125 in,6.47,22.5,248.0 in ** 4,54.9 in ** 3,49.1 in ** 3,4.32 in,53.4 in ** 4,20.3 in ** 3,13.3 in ** 3,2.01 in,1.51 in ** 4,1200.0 in ** 6,19.0 in ** 2,23.6 in ** 4,11.3 in ** 3,27.0 in ** 3,2.27 in,9.48 in,42.7 in,50.7 in,28.2 in,36.2 in,7.5 in,5.5 in
W10X39,W,39.0 plf,11.5 in ** 2,10 in,9.92 in,9.875 in,7.99 in,8.0 in,0.315 in,0.3125 in,0.1875 in,0.53 in,0.5 in,1.03 in,1.1875 in,0.8125 in,7.53,25.0,209.0 in ** 4,46.8 in ** 3,42.1 in ** 3,4.27 in,45.0 in ** 4,17.2 in ** 3,11.3 in ** 3,1.98 in,0.976 in ** 4,992.0 in ** 6,18.8 in ** 2,19.9 in ** 4,9.55 in ** 3,23.0 in ** 3,2.24 in,9.39 in,42.3 in,50.3 in,27.8 in,35.8 in,7.5 in,5.5 in
W10X33,W,33.0 plf,9.71 in ** 2,10 in,9.73 in,9.75 in,7.96 in,8.0 in,0.29 in,0.3125 in,0.1875 in,0.435 in,0.4375 in,0.935 in,1.125 in,0.75 in,9.15,27.1,171.0 in ** 4,38.8 in ** 3,35.0 in ** 3,4.19 in,36.6 in ** 4,14.0 in ** 3,9.2 in ** 3,1.94 in,0.583 in ** 4,791.0 in ** 6,18.5 in ** 2,16.0 in ** 4,7.75 in ** 3,18.9 in ** 3,2.2 in,9.3 in,41.9 in,49.9 in,27.4 in,35.4 in,7.5 in,5.5 in
W10X30,W,30.0 plf,8.84 in ** 2,10 in,10.5 in,10.5 in,5.81 in,5.75 in,0.3 in,0.3125 in,0.1875 in,0.51 in,0.5 in,0.81 in,1.125 in,0.6875 in,5.7,29.5,170.0 in ** 4,36.6 in ** 3,32.4 in ** 3,4.38 in,16.7 in ** 4,8.84 in ** 3,5.75 in ** 3,1.37 in,0.622 in ** 4,414.0 in ** 6,14.5 in ** 2,10.7 in ** 4,7.02 in ** 3,18.2 in ** 3,1.6 in,9.99 in,37.3 in,43.1 in,26.8 in,32.6 in,8.25 in,2.75 in
W10X26,W,26.0 plf,7.61 in ** 2,10 in,10.3 in,10.375 in,5.77 in,5.75 in,0.26 in,0.25 in,0.125 in,0.44 in,0.4375 in,0.74 in,1.0625 in,0.6875 in,6.56,34.0,144.0 in ** 4,31.3 in ** 3,27.9 in ** 3,4.35 in,14.1 in ** 4,7.5 in ** 3,4.89 in ** 3,1.36 in,0.402 in ** 4,345.0 in ** 6,14.2 in ** 2,9.03 in ** 4,5.98 in ** 3,15.4 in ** 3,1.58 in,9.86 in,36.8 in,42.6 in,26.4 in,32.1 in,8.25 in,2.75 in
W10X22,W,22.0 plf,6.49 in ** 2,10 in,10.2 in,10.125 in,5.75 in,5.75 in,0.24 in,0.25 in,0.125 in,0.36 in,0.375 in,0.66 in,0.9375 in,0.625 in,7.99,36.9,118.0 in ** 4,26.0 in ** 3,23.2 in ** 3,4.27 in,11.4 in ** 4,6.1 in ** 3,3.97 in ** 3,1.33 in,0.239 in ** 4,275.0 in ** 6,14.1 in ** 2,7.32 in ** 4,4.88 in ** 3,12.9 in ** 3,1.55 in,9.84 in,36.6 in,42.4 in,26.2 in,31.9 in,8.25 in,2.75 in
W10X19,W,19.0 plf,5.62 in ** 2,10 in,10.2 in,10.25 in,4.02 in,4.0 in,0.25 in,0.25 in,0.125 in,0.395 in,0.375 in,0.695 in,0.9375 in,0.625 in,5.09,35.4,96.3 in ** 4,21.6 in ** 3,18.8 in ** 3,4.14 in,4.29 in ** 4,3.35 in ** 3,2.14 in ** 3,0.874 in,0.233 in ** 4,104.0 in ** 6,9.85 in ** 2,3.91 in ** 4,3.65 in ** 3,10.6 in ** 3,1.06 in,9.81 in,31.5 in,35.5 in,24.4 in,28.4 in,8.375 in,2.25 in
W10X17,W,17.0 plf,4.99 in ** 2,10 in,10.1 in,10.125 in,4.01 in,4.0 in,0.24 in,0.25 in,0.125 in,0.33 in,0.3125 in,0.63 in,0.875 in,0.5625 in,6.08,36.9,81.9 in ** 4,18.7 in ** 3,16.2 in ** 3,4.05 in,3.56 in ** 4,2.8 in ** 3,1.78 in ** 3,0.845 in,0.156 in ** 4,85.1 in ** 6,9.79 in ** 2,3.24 in ** 4,3.04 in ** 3,9.14 in ** 3,1.04 in,9.77 in,31.2 in,35.2 in,24.2 in,28.2 in,8.375 in,2.25 in
W10X15,W,15.0 plf,4.41 in ** 2,10 in,9.99 in,10.0 in,4.0 in,4.0 in,0.23 in,0.25 in,0.125 in,0.27 in,0.25 in,0.57 in,0.8125 in,0.5625 in,7.41,38.5,68.9 in ** 4,16.0 in ** 3,13.8 in ** 3,3.95 in,2.89 in ** 4,2.3 in ** 3,1.45 in ** 3,0.81 in,0.104 in ** 4,68.3 in ** 6,9.73 in ** 2,2.63 in ** 4,2.48 in ** 3,7.83 in ** 3,1.01 in,9.72 in,31.0 in,35.0 in,24.0 in,28.0 in,8.375 in,2.25 in
W10X12,W,12.0 plf,3.54 in ** 2,10 in,9.87 in,9.875 in,3.96 in,4.0 in,0.19 in,0.1875 in,0.125 in,0.21 in,0.1875 in,0.51 in,0.75 in,0.5625 in,9.43,46.6,53.8 in ** 4,12.6 in ** 3,10.9 in ** 3,3.9 in,2.18 in ** 4,1.74 in ** 3,1.1 in ** 3,0.785 in,0.0547 in ** 4,50.9 in ** 6,9.56 in ** 2,1.99 in ** 4,1.91 in ** 3,6.14 in ** 3,0.983 in,9.66 in,30.7 in,34.7 in,23.7 in,27.7 in,8.375 in,2.25 in
W8X67,W,67.0 plf,19.7 in ** 2,8 in,9.0 in,9.0 in,8.28 in,8.25 in,0.57 in,0.5625 in,0.3125 in,0.935 in,0.9375 in,1.33 in,1.625 in,0.9375 in,4.43,11.1,272.0 in ** 4,70.1 in ** 3,60.4 in ** 3,3.72 in,88.6 in ** 4,32.7 in ** 3,21.4 in ** 3,2.12 in,5.05 in ** 4,1440.0 in ** 6,16.7 in ** 2,32.3 in ** 4,14.5 in ** 3,34.8 in ** 3,2.43 in,8.07 in,41.0 in,49.3 in,26.3 in,34.6 in,5.75 in,5.5 in
W8X58,W,58.0 plf,17.1 in ** 2,8 in,8.75 in,8.75 in,8.22 in,8.25 in,0.51 in,0.5 in,0.25 in,0.81 in,0.8125 in,1.2 in,1.5 in,0.875 in,5.07,12.4,228.0 in ** 4,59.8 in ** 3,52.0 in ** 3,3.65 in,75.1 in ** 4,27.9 in ** 3,18.3 in ** 3,2.1 in,3.33 in ** 4,1180.0 in ** 6,16.3 in ** 2,27.2 in ** 4,12.4 in ** 3,29.7 in ** 3,2.39 in,7.94 in,40.5 in,48.7 in,25.7 in,33.9 in,5.75 in,5.5 in
W8X48,W,48.0 plf,14.1 in ** 2,8 in,8.5 in,8.5 in,8.11 in,8.125 in,0.4 in,0.375 in,0.1875 in,0.685 in,0.6875 in,1.08 in,1.375 in,0.8125 in,5.92,15.9,184.0 in ** 4,49.0 in ** 3,43.2 in ** 3,3.61 in,60.9 in ** 4,22.9 in ** 3,15.0 in ** 3,2.08 in,1.96 in ** 4,931.0 in ** 6,15.8 in ** 2,22.0 in ** 4,10.3 in ** 3,24.2 in ** 3,2.35 in,7.82 in,39.9 in,48.0 in,25.1 in,33.2 in,5.75 in,5.5 in
W8X40,W,40.0 plf,11.7 in ** 2,8 in,8.25 in,8.25 in,8.07 in,8.125 in,0.36 in,0.375 in,0.1875 in,0.56 in,0.5625 in,0.954 in,1.25 in,0.8125 in,7.21,17.6,146.0 in ** 4,39.8 in ** 3,35.5 in ** 3,3.53 in,49.1 in ** 4,18.5 in ** 3,12.2 in ** 3,2.04 in,1.12 in ** 4,726.0 in ** 6,15.5 in ** 2,17.5 in ** 4,8.3 in ** 3,19.7 in ** 3,2.31 in,7.69 in,39.3 in,47.4 in,24.6 in,32.6 in,5.75 in,5.5 in
W8X35,W,35.0 plf,10.3 in ** 2,8 in,8.12 in,8.125 in,8.02 in,8.0 in,0.31 in,0.3125 in,0.1875 in,0.495 in,0.5 in,0.889 in,1.1875 in,0.8125 in,8.1,20.5,127.0 in ** 4,34.7 in ** 3,31.2 in ** 3,3.51 in,42.6 in ** 4,16.1 in ** 3,10.6 in ** 3,2.03 in,0.769 in ** 4,619.0 in ** 6,15.3 in ** 2,15.2 in ** 4,7.28 in ** 3,17.1 in ** 3,2.28 in,7.63 in,39.0 in,47.0 in,24.3 in,32.3 in,5.75 in,5.5 in
W8X31,W,31.0 plf,9.13 in ** 2,8 in,8.0 in,8.0 in,8.0 in,8.0 in,0.285 in,0.3125 in,0.1875 in,0.435 in,0.4375 in,0.829 in,1.125 in,0.75 in,9.19,22.3,110.0 in ** 4,30.4 in ** 3,27.5 in ** 3,3.47 in,37.1 in ** 4,14.1 in ** 3,9.27 in ** 3,2.02 in,0.536 in ** 4,530.0 in ** 6,15.1 in ** 2,13.2 in ** 4,6.35 in ** 3,15.0 in ** 3,2.26 in,7.57 in,38.8 in,46.8 in,24.0 in,32.0 in,5.75 in,5.5 in
W8X28,W,28.0 plf,8.25 in ** 2,8 in,8.06 in,8.0 in,6.54 in,6.5 in,0.285 in,0.3125 in,0.1875 in,0.465 in,0.4375 in,0.859 in,0.9375 in,0.625 in,7.03,22.3,98.0 in ** 4,27.2 in ** 3,24.3 in ** 3,3.45 in,21.7 in ** 4,10.1 in ** 3,6.63 in ** 3,1.62 in,0.537 in ** 4,312.0 in ** 6,12.4 in ** 2,9.44 in ** 4,5.52 in ** 3,13.4 in ** 3,1.84 in,7.6 in,34.5 in,41.0 in,22.7 in,29.2 in,6.125 in,4.0 in
W8X24,W,24.0 plf,7.08 in ** 2,8 in,7.93 in,7.875 in,6.5 in,6.5 in,0.245 in,0.25 in,0.125 in,0.4 in,0.375 in,0.794 in,0.875 in,0.5625 in,8.12,25.9,82.7 in ** 4,23.1 in ** 3,20.9 in ** 3,3.42 in,18.3 in ** 4,8.57 in ** 3,5.63 in ** 3,1.61 in,0.346 in ** 4,259.0 in ** 6,12.2 in ** 2,7.95 in ** 4,4.71 in ** 3,11.3 in ** 3,1.81 in,7.53 in,34.2 in,40.7 in,22.4 in,28.9 in,6.125 in,4.0 in
W8X21,W,21.0 plf,6.16 in ** 2,8 in,8.28 in,8.25 in,5.27 in,5.25 in,0.25 in,0.25 in,0.125 in,0.4 in,0.375 in,0.7 in,0.875 in,0.5625 in,6.59,27.5,75.3 in ** 4,20.4 in ** 3,18.2 in ** 3,3.49 in,9.77 in ** 4,5.69 in ** 3,3.71 in ** 3,1.26 in,0.282 in ** 4,152.0 in ** 6,10.4 in ** 2,5.47 in ** 4,3.96 in ** 3,10.1 in ** 3,1.46 in,7.88 in,31.3 in,36.6 in,21.8 in,27.1 in,6.5 in,2.75 in
W8X18,W,18.0 plf,5.26 in ** 2,8 in,8.14 in,8.125 in,5.25 in,5.25 in,0.23 in,0.25 in,0.125 in,0.33 in,0.3125 in,0.63 in,0.8125 in,0.5625 in,7.95,29.9,61.9 in ** 4,17.0 in ** 3,15.2 in ** 3,3.43 in,7.97 in ** 4,4.66 in ** 3,3.04 in ** 3,1.23 in,0.172 in ** 4,122.0 in ** 6,10.3 in ** 2,4.44 in ** 4,3.23 in ** 3,8.37 in ** 3,1.43 in,7.81 in,31.0 in,36.3 in,21.5 in,26.8 in,6.5 in,2.75 in
W8X15,W,15.0 plf,4.44 in ** 2,8 in,8.11 in,8.125 in,4.02 in,4.0 in,0.245 in,0.25 in,0.125 in,0.315 in,0.3125 in,0.615 in,0.8125 in,0.5625 in,6.37,28.1,48.0 in ** 4,13.6 in ** 3,11.8 in ** 3,3.29 in,3.41 in ** 4,2.67 in ** 3,1.7 in ** 3,0.876 in,0.137 in ** 4,51.8 in ** 6,7.81 in ** 2,2.47 in ** 4,2.31 in ** 3,6.64 in ** 3,1.06 in,7.8 in,27.3 in,31.3 in,20.2 in,24.2 in,6.5 in,2.25 in
W8X13,W,13.0 plf,3.84 in ** 2,8 in,7.99 in,8.0 in,4.0 in,4.0 in,0.23 in,0.25 in,0.125 in,0.255 in,0.25 in,0.555 in,0.75 in,0.5625 in,7.84,29.9,39.6 in ** 4,11.4 in ** 3,9.91 in ** 3,3.21 in,2.73 in ** 4,2.15 in ** 3,1.37 in ** 3,0.843 in,0.0871 in ** 4,40.8 in ** 6,7.74 in ** 2,1.97 in ** 4,1.86 in ** 3,5.55 in ** 3,1.03 in,7.74 in,27.0 in,31.0 in,20.0 in,24.0 in,6.5 in,2.25 in
W8X10,W,10.0 plf,2.96 in ** 2,8 in,7.89 in,7.875 in,3.94 in,4.0 in,0.17 in,0.1875 in,0.125 in,0.205 in,0.1875 in,0.505 in,0.6875 in,0.5 in,9.61,40.5,30.8 in ** 4,8.87 in ** 3,7.81 in ** 3,3.22 in,2.09 in ** 4,1.66 in ** 3,1.06 in ** 3,0.841 in,0.0426 in ** 4,30.9 in ** 6,7.57 in ** 2,1.53 in ** 4,1.48 in ** 3,4.29 in ** 3,1.01 in,7.69 in,26.8 in,30.7 in,19.7 in,23.7 in,6.5 in,2.25 in
W6X25,W,25.0 plf,7.34 in ** 2,6 in,6.38 in,6.375 in,6.08 in,6.125 in,0.32 in,0.3125 in,0.1875 in,0.455 in,0.4375 in,0.705 in,0.9375 in,0.5625 in,6.68,15.5,53.4 in ** 4,18.9 in ** 3,16.7 in ** 3,2.7 in,17.1 in ** 4,8.56 in ** 3,5.61 in ** 3,1.52 in,0.461 in ** 4,150.0 in ** 6,9.01 in ** 2,6.23 in ** 4,3.88 in ** 3,9.39 in ** 3,1.74 in,5.93 in,29.9 in,36.0 in,18.8 in,24.9 in,4.5 in,3.5 in
W6X20,W,20.0 plf,5.87 in ** 2,6 in,6.2 in,6.25 in,6.02 in,6.0 in,0.26 in,0.25 in,0.125 in,0.365 in,0.375 in,0.615 in,0.875 in,0.5625 in,8.25,19.1,41.4 in ** 4,14.9 in ** 3,13.4 in ** 3,2.66 in,13.3 in ** 4,6.72 in ** 3,4.41 in ** 3,1.5 in,0.24 in ** 4,113.0 in ** 6,8.78 in ** 2,4.82 in ** 4,3.07 in ** 3,7.38 in ** 3,1.7 in,5.84 in,29.5 in,35.5 in,18.4 in,24.4 in,4.5 in,3.5 in
W6X15,W,15.0 plf,4.43 in ** 2,6 in,5.99 in,6.0 in,5.99 in,6.0 in,0.23 in,0.25 in,0.125 in,0.26 in,0.25 in,0.51 in,0.75 in,0.5625 in,11.5,21.6,29.1 in ** 4,10.8 in ** 3,9.72 in ** 3,2.56 in,9.32 in ** 4,4.75 in ** 3,3.11 in ** 3,1.45 in,0.101 in ** 4,76.5 in ** 6,8.58 in ** 2,3.34 in ** 4,2.15 in ** 3,5.32 in ** 3,1.66 in,5.73 in,29.1 in,35.1 in,18.0 in,24.0 in,4.5 in,3.5 in
W6X16,W,16.0 plf,4.74 in ** 2,6 in,6.28 in,6.25 in,4.03 in,4.0 in,0.26 in,0.25 in,0.125 in,0.405 in,0.375 in,0.655 in,0.875 in,0.5625 in,4.98,19.1,32.1 in ** 4,11.7 in ** 3,10.2 in ** 3,2.6 in,4.43 in ** 4,3.39 in ** 3,2.2 in ** 3,0.967 in,0.223 in ** 4,38.2 in ** 6,5.92 in ** 2,2.42 in ** 4,2.24 in ** 3,5.77 in ** 3,1.13 in,5.88 in,23.7 in,27.7 in,16.6 in,20.6 in,4.5 in,2.25 in
W6X12,W,12.0 plf,3.55 in ** 2,6 in,6.03 in,6.0 in,4.0 in,4.0 in,0.23 in,0.25 in,0.125 in,0.28 in,0.25 in,0.53 in,0.75 in,0.5625 in,7.14,21.6,22.1 in ** 4,8.3 in ** 3,7.31 in ** 3,2.49 in,2.99 in ** 4,2.32 in ** 3,1.5 in ** 3,0.918 in,0.0903 in ** 4,24.7 in ** 6,5.75 in ** 2,1.61 in ** 4,1.52 in ** 3,4.08 in ** 3,1.08 in,5.75 in,23.2 in,27.2 in,16.1 in,20.1 in,4.5 in,2.25 in
W6X9,W,9.0 plf,2.68 in ** 2,6 in,5.9 in,5.875 in,3.94 in,4.0 in,0.17 in,0.1875 in,0.125 in,0.215 in,0.1875 in,0.465 in,0.6875 in,0.5 in,9.16,29.2,16.4 in ** 4,6.23 in ** 3,5.56 in ** 3,2.47 in,2.2 in ** 4,1.72 in ** 3,1.11 in ** 3,0.905 in,0.0405 in ** 4,17.7 in ** 6,5.6 in ** 2,1.19 in ** 4,1.15 in ** 3,3.04 in ** 3,1.06 in,5.69 in,22.9 in,26.8 in,15.7 in,19.7 in,4.5 in,2.25 in
W6X8.5,W,8.5 plf,2.52 in ** 2,6 in,5.83 in,5.875 in,3.94 in,4.0 in,0.17 in,0.1875 in,0.125 in,0.195 in,0.1875 in,0.445 in,0.6875 in,0.5 in,10.1,29.1,14.9 in ** 4,5.73 in ** 3,5.1 in ** 3,2.43 in,1.99 in ** 4,1.56 in ** 3,1.01 in ** 3,0.89 in,0.0333 in ** 4,15.8 in ** 6,5.55 in ** 2,1.06 in ** 4,1.03 in ** 3,2.78 in ** 3,1.05 in,5.64 in,22.8 in,26.7 in,15.6 in,19.5 in,4.5 in,2.25 in
