Index,AISC_Manual_Label,Type,W,A,OD,ID,tnom,tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS2.875X.203,HSS2.875X0.203,RoundHSS,5.8 plf,1.59 in ** 2,2.88 in,2.502 in,0.203 in,0.189 in,15.2,1.45 in ** 4,1.37 in ** 3,1.01 in ** 3,0.952 in,1.45 in ** 4,1.37 in ** 3,1.01 in ** 3,0.952 in,2.89 in ** 4,2.01 in ** 3
HSS2.875X.188,HSS2.875X0.188,RoundHSS,5.4 plf,1.48 in ** 2,2.88 in,2.532 in,0.188 in,0.174 in,16.5,1.35 in ** 4,1.27 in ** 3,0.941 in ** 3,0.957 in,1.35 in ** 4,1.27 in ** 3,0.941 in ** 3,0.957 in,2.7 in ** 4,1.88 in ** 3
HSS2.875X.125,HSS2.875X0.125,RoundHSS,3.67 plf,1.01 in ** 2,2.88 in,2.648 in,0.125 in,0.116 in,24.8,0.958 in ** 4,0.884 in ** 3,0.667 in ** 3,0.976 in,0.958 in ** 4,0.884 in ** 3,0.667 in ** 3,0.976 in,1.92 in ** 4,1.33 in ** 3
HSS2.5X.250,HSS2.500X0.250,RoundHSS,6.01 plf,1.66 in ** 2,2.5 in,2.034 in,0.25 in,0.233 in,10.7,1.08 in ** 4,1.2 in ** 3,0.862 in ** 3,0.806 in,1.08 in ** 4,1.2 in ** 3,0.862 in ** 3,0.806 in,2.15 in ** 4,1.72 in ** 3
HSS2.5X.188,HSS2.500X0.188,RoundHSS,4.65 plf,1.27 in ** 2,2.5 in,2.152 in,0.188 in,0.174 in,14.4,0.865 in ** 4,0.943 in ** 3,0.692 in ** 3,0.825 in,0.865 in ** 4,0.943 in ** 3,0.692 in ** 3,0.825 in,1.73 in ** 4,1.38 in ** 3
HSS2.5X.125,HSS2.500X0.125,RoundHSS,3.17 plf,0.869 in ** 2,2.5 in,2.268 in,0.125 in,0.116 in,21.6,0.619 in ** 4,0.66 in ** 3,0.495 in ** 3,0.844 in,0.619 in ** 4,0.66 in ** 3,0.495 in ** 3,0.844 in,1.24 in ** 4,0.99 in ** 3
HSS2.375X.250,HSS2.375X0.250,RoundHSS,5.68 plf,1.57 in ** 2,2.38 in,1.914 in,0.25 in,0.233 in,10.2,0.91 in ** 4,1.07 in ** 3,0.766 in ** 3,0.762 in,0.91 in ** 4,1.07 in ** 3,0.766 in ** 3,0.762 in,1.82 in ** 4,1.53 in ** 3
HSS2.375X.218,HSS2.375X0.218,RoundHSS,5.03 plf,1.39 in ** 2,2.38 in,1.974 in,0.218 in,0.203 in,11.7,0.824 in ** 4,0.96 in ** 3,0.694 in ** 3,0.771 in,0.824 in ** 4,0.96 in ** 3,0.694 in ** 3,0.771 in,1.65 in ** 4,1.39 in ** 3
HSS2.375X.188,HSS2.375X0.188,RoundHSS,4.4 plf,1.2 in ** 2,2.38 in,2.032 in,0.188 in,0.174 in,13.6,0.733 in ** 4,0.845 in ** 3,0.617 in ** 3,0.781 in,0.733 in ** 4,0.845 in ** 3,0.617 in ** 3,0.781 in,1.47 in ** 4,1.23 in ** 3
HSS2.375X.154,HSS2.375X0.154,RoundHSS,3.66 plf,1.0 in ** 2,2.38 in,2.094 in,0.154 in,0.143 in,16.6,0.627 in ** 4,0.713 in ** 3,0.528 in ** 3,0.791 in,0.627 in ** 4,0.713 in ** 3,0.528 in ** 3,0.791 in,1.25 in ** 4,1.06 in ** 3
HSS2.375X.125,HSS2.375X0.125,RoundHSS,3.01 plf,0.823 in ** 2,2.38 in,2.148 in,0.125 in,0.116 in,20.5,0.527 in ** 4,0.592 in ** 3,0.443 in ** 3,0.8 in,0.527 in ** 4,0.592 in ** 3,0.443 in ** 3,0.8 in,1.05 in ** 4,0.887 in ** 3
HSS1.9X.188,HSS1.900X0.188,RoundHSS,3.44 plf,0.943 in ** 2,1.9 in,1.552 in,0.188 in,0.174 in,10.9,0.355 in ** 4,0.52 in ** 3,0.374 in ** 3,0.613 in,0.355 in ** 4,0.52 in ** 3,0.374 in ** 3,0.613 in,0.71 in ** 4,0.747 in ** 3
HSS1.9X.145,HSS1.900X0.145,RoundHSS,2.72 plf,0.749 in ** 2,1.9 in,1.63 in,0.145 in,0.135 in,14.1,0.293 in ** 4,0.421 in ** 3,0.309 in ** 3,0.626 in,0.293 in ** 4,0.421 in ** 3,0.309 in ** 3,0.626 in,0.586 in ** 4,0.617 in ** 3
